Quarter,NumActualDelinquents,NumOfPredictedDelinquents,NumRecordsInDataset,NumDelinquentsProperlyClassified,NumNonDelinquentsImproperlyClassified
Q21999,202868,202868,7000000,6300,11388
Q31999,334974,334974,8797803,19027,57699
Q41999,270684,270684,6133986,10562,19293
Q12000,185631,185631,3939565,8486,16418
Q22000,255207,255207,5056705,14922,29630
Q32000,275979,275979,5570045,15075,24623
Q42000,318650,318650,6105572,15328,24931
Q12001,239303,239303,7000000,7287,13813
Q22001,245489,245489,7000000,8728,14932
Q32001,246858,246858,7000000,8152,11068
Q42001,215040,215040,7000000,7523,10842
Q12002,315441,315441,7000000,16082,26056
Q22002,380429,380429,7000000,20265,40693
Q32002,290579,290579,7000000,13114,21562
Q42002,189361,189361,7000000,6812,9692
Q12003,172801,172801,7000000,5880,8648
Q22003,158763,158763,7000000,5907,8645
Q32003,147551,147551,7000000,5078,13061
Q42003,257707,257707,7000000,9508,22365
Q12004,254357,254357,7000000,11934,16738
Q22004,233285,233285,7000000,10134,13569
Q32004,279508,279508,7000000,12270,17661
Q42004,326638,326638,7000000,14932,17191
Q12005,342274,342274,7000000,20505,38770
Q22005,351220,351220,7000000,22404,40888
Q32005,352606,352606,7000000,23821,24787
Q42005,435169,435169,7000000,31036,34841
Q12006,531992,531992,7000000,43117,70901
Q22006,549735,549735,7000000,54173,98858
Q32006,576537,576537,7000000,60501,99753
Q42006,572178,572178,7000000,48034,62263
Q12007,576766,576766,7000000,48693,71271
Q22007,602498,602498,7000000,49732,71940
Q32007,715395,715395,7000000,72581,110414
Q42007,784369,784369,7000000,80352,113974
Q12008,582373,582373,7000000,58447,88349
Q22008,496119,496119,7000000,48255,63560
Q32008,556464,556464,8194537,73857,338362
Q42008,382666,382666,8305023,23213,33427
Q12009,120973,120973,7000000,4454,6399
Q22009,74511,74511,7000000,2223,2984
Q32009,82341,82341,7000000,2301,3717
Q42009,85354,85354,7000000,2031,2199
Q12010,82064,82064,7000000,1970,3076
Q22010,78221,78221,7000000,2079,5464
Q32010,54735,54735,7000000,1238,2220
Q42010,40943,40943,7000000,761,1808
Q12011,61963,61963,9294018,1424,8142
Q22011,61740,61740,7821671,1069,1601
Q32011,47977,47977,7000000,1067,1626
Q42011,31999,31999,7000000,589,858
Q12012,24428,24428,7000000,333,535
Q22012,28103,28103,7000000,495,805
Q32012,24278,24278,7000000,281,567
Q42012,23559,23559,7000000,305,508
Q12013,22184,22184,7000000,260,803
Q22013,26905,26905,7000000,388,760
Q32013,38675,38675,8849684,561,4056
Q42013,36988,36988,6922092,381,479
Q12014,25928,25928,4888611,246,465
Q22014,33321,33321,6588603,337,407
Q32014,33870,33870,7155941,276,828
Q42014,25968,25968,5957699,138,289
Q12015,20336,20336,6614842,67,209
Q22015,20241,20241,6582845,57,279
Q32015,16054,16054,4910107,20,95
Q42015,11307,11307,3734175,3,87
Q12016,6586,6586,2648429,1,23
Q22016,6026,6026,2689166,0,7
