TrainQuarter,TestQuarter,R-squared,MSE,RMSE,MAE,MAPE
Q11999,Q21999,-0.160332913664,0.166847609039,0.4084698385921438,0.307175363168,4.1839836744626435
Q21999,Q31999,-1.63877206133,0.509912928313,0.7140818778774325,0.621578315159,7.8221723288042835
Q31999,Q41999,0.146281390424,0.13856329757,0.3722409133475833,0.276041722033,3.4344983269279408
Q41999,Q12000,-0.252922899816,0.247959540451,0.4979553598978075,0.411461973631,4.90110386868605
Q12000,Q22000,0.23504809636,0.172865620552,0.415771115581893,0.311135090444,3.6764240835146325
Q22000,Q32000,0.134150171318,0.18668354891,0.4320689168526433,0.332260700759,4.118938053010068
Q32000,Q42000,-0.257801993497,0.272938504711,0.5224351679498884,0.422147248451,5.4783359818710125
Q42000,Q12001,-2.92054931466,0.688959527331,0.830035859063158,0.758794627646,10.840891843094072
Q12001,Q22001,0.213405044395,0.101241458892,0.31818463019491944,0.235043469039,3.2838529993922547
Q22001,Q32001,0.275709174342,0.0986789656315,0.31413208309797636,0.233413839895,3.275359963144584
Q32001,Q42001,-0.951389442289,0.247532325826,0.4975262061701369,0.427260161836,6.494693047140218
Q42001,Q12002,-0.0380069428351,0.138525639318,0.3721903267389489,0.288057656349,4.074838711262625
Q12002,Q22002,0.244993749071,0.0946025551992,0.30757528379117327,0.22426739714,3.2179666835606877
Q22002,Q32002,-1.52621240212,0.292630360644,0.5409531963522844,0.473516396101,7.47359301806053
Q32002,Q42002,-0.90733703539,0.175689889726,0.419153778136059,0.359343772524,5.958144858925819
Q42002,Q12003,-0.209260704139,0.0985219618467,0.3138820827106053,0.253316635676,4.306444185696439
Q12003,Q22003,-0.57256096954,0.179783493482,0.42400883656132704,0.343882712432,6.260605341113246
Q22003,Q32003,0.0746618194045,0.193766345855,0.44018898879335633,0.362042285091,6.407103696055547
Q32003,Q42003,-0.583901542576,0.188851118421,0.4345700385680625,0.346033717036,5.643100151276553
Q42003,Q12004,-0.352547576341,0.134663877152,0.3669657710897649,0.298015867121,5.29594511652873
Q12004,Q22004,0.0631865983153,0.173766332859,0.4168528911491571,0.336583532247,5.658766089559415
Q22004,Q32004,-0.218916338355,0.132284508307,0.36370937341080967,0.283879774739,4.580601770347822
Q32004,Q42004,-0.648566581088,0.135394416356,0.3679598026363224,0.310765487394,5.4599795682019545
Q42004,Q12005,-0.0664944587352,0.144290523386,0.3798559245111267,0.277284852257,5.045731245325565
Q12005,Q22005,0.201371454122,0.0981670690164,0.3133162444183411,0.242006143424,4.133927549585527
Q22005,Q32005,0.254926679592,0.0866569088826,0.29437545563887946,0.223787685035,3.9585900126387483
Q32005,Q42005,-0.402933558981,0.210452650443,0.45875118576689256,0.372539398833,5.9908027919357
Q42005,Q12006,0.0824956303851,0.10890713096,0.3300108043084359,0.260000201934,4.119009909590061
Q12006,Q22006,-0.386356084536,0.167041675609,0.4087073226758005,0.337857399703,5.10029808329561
Q22006,Q32006,0.17424850022,0.108603341758,0.32955021128450174,0.257116812493,3.8593971281286583
Q32006,Q42006,-0.578251238125,0.209955773715,0.4582093121211774,0.383760022635,6.283575381826288
Q42006,Q12007,0.232423461451,0.0998448646402,0.31598238026863523,0.240766341015,3.9219481284007283
Q12007,Q22007,0.248758615244,0.115398377347,0.33970336670006396,0.256191248941,4.019227680929846
Q12007,Q22007,0.24810961621,0.115498070252,0.3398500702538529,0.256373447204,4.022076983455239
Q22007,Q32007,-0.49526152304,0.222384110347,0.4715761978165785,0.393691884621,5.7989902129969915
Q32007,Q42007,-0.119694010999,0.219286774789,0.46828065814085673,0.381284767793,6.196076831944041
Q42007,Q12008,-0.25004776732,0.31859693342,0.5644439152120214,0.478491235758,8.489947440465706
Q12008,Q22008,0.355857519036,0.144799761142,0.38052563795593675,0.288959331639,4.710233560272538
Q22008,Q32008,-0.157261280069,0.244770446975,0.4947428089173114,0.412042192661,6.324941601618816
Q32008,Q42008,-0.267352652172,0.451528836237,0.6719589542802173,0.547266759087,9.851051071546884
Q42008,Q12009,-4.07228729012,0.68686877343,0.8287754662332919,0.760595396467,15.785061675969974
Q12009,Q22009,0.247774576143,0.0890171454449,0.29835741225061885,0.228486311721,4.749987737316076
Q22009,Q32009,0.0648062984636,0.159190036362,0.39898626086827677,0.321685099021,6.089312942577872
Q32009,Q42009,0.246629270669,0.0990671635206,0.31474936619578164,0.257818785509,5.356070124117439
Q42009,Q12010,0.659412997532,0.0448279269744,0.21172606588323384,0.16375749799,3.312209644856596
Q12010,Q22010,0.654967867225,0.044944870702,0.21200205353258883,0.164101014975,3.3349393229930033
Q22010,Q32010,-0.463517132008,0.214636202071,0.4632884652903747,0.406242262939,9.38439257957812
Q32010,Q42010,0.2212493228,0.110675776437,0.33267969044791745,0.279273276643,6.857858047667474
Q42010,Q12011,-0.0250295632956,0.218598570496,0.46754526037172095,0.400570890238,8.429045443988793
Q12011,Q22011,0.664663518175,0.0658874415948,0.25668549159381204,0.198638948061,4.309799423582981
Q22011,Q32011,0.140206472879,0.226522892675,0.47594421172570983,0.404513745543,10.195591152446374
Q32011,Q42011,0.29559583802,0.121009195984,0.34786376066547003,0.293645835458,7.708254957071565
Q42011,Q12012,0.628191822965,0.062758559856,0.25051658598983695,0.200909641205,5.498219176886901
Q12012,Q22012,0.706096035043,0.0512547796618,0.22639518471423103,0.171702072675,4.728673102277831
Q22012,Q32012,0.399961488403,0.106065484651,0.325676963648352,0.276489215283,8.159174921585603
Q32012,Q42012,0.554301536651,0.0753507620242,0.2745009326472923,0.219698698855,6.736941788522683
Q42012,Q12013,0.723482938579,0.0507388093273,0.22525276763507995,0.170205636954,5.0199120640169
Q12013,Q22013,0.697915658412,0.0637484837962,0.2524846209102456,0.186861980583,5.228177342878301
Q22013,Q32013,-0.453329804245,0.49390384171,0.7027829264504716,0.612963747365,14.178250983233864
Q32013,Q42013,0.596104440821,0.0910725382259,0.3017822695684527,0.233180229332,5.358780975789538
Q42013,Q12014,0.764327281418,0.0483375783545,0.21985808685254607,0.168904899213,3.823659342578118
Q12014,Q22014,0.723152041746,0.0550689891227,0.23466782719981716,0.184928545387,4.377289475656445
